"","SP600.Open","SP600.High","SP600.Low","SP600.Close","SP600.Volume","SP600.Adjusted"
"1290",613.280029,623.400024,613.280029,618.919983,102000,618.919983
"1291",619.549988,620.72998,615.830017,617.710022,84400,617.710022
"1292",617.049988,620.919983,614.210022,620.280029,83900,620.280029
"1293",623.950012,629.47998,623.950012,627.140015,81100,627.140015
"1294",625.98999,627.349976,623.01001,623.099976,77900,623.099976
"1295",620.190002,629.840027,615.169983,629.400024,82800,629.400024
"1296",630.190002,635.51001,628.429993,635.51001,72000,635.51001
"1297",637.200012,639.340027,634.950012,637.419983,86400,637.419983
"1298",637.599976,642.679993,635.849976,636.030029,131100,636.030029
"1299",637.98999,647.789978,637.820007,647.789978,98200,647.789978
"1300",646.940002,653.119995,645.700012,653.070007,93000,653.070007
"1301",652.98999,660.590027,652.48999,660.51001,93600,660.51001
"1302",660.690002,667.659973,659.580017,664.309998,104800,664.309998
"1303",663.049988,671.809998,661.929993,671.809998,103200,671.809998
"1304",669.76001,669.76001,656.26001,656.669983,89700,656.669983
"1305",657.950012,661.109985,656.830017,660.179993,73400,660.179993
"1306",661.150024,663.799988,649.840027,655.469971,75300,655.469971
"1307",658.47998,669.289978,658.47998,669.059998,73900,669.059998
"1308",667.820007,667.820007,663.469971,665.880005,66600,665.880005
"1309",663.73999,663.73999,655.919983,656.780029,64200,656.780029
"1310",655.599976,662.719971,654.799988,661.140015,64900,661.140015
"1311",660.880005,674.640015,658.75,672.650024,85000,672.650024
"1312",674.150024,679.640015,674.150024,678.789978,219500,678.789978
"1313",677.890015,679.22998,674.580017,676.659973,64700,676.659973
"1314",673.450012,677.26001,670.799988,675.070007,63200,675.070007
"1315",673.75,673.75,663.960022,663.960022,73400,663.960022
"1316",661.469971,666.280029,658.200012,666.280029,67100,666.280029
"1317",667.539978,669.210022,662.650024,666.929993,63200,666.929993
"1318",665.780029,685.01001,664.450012,684.940002,92700,684.940002
"1319",686.599976,689.080017,684.140015,686.119995,69900,686.119995
"1320",685.76001,688.969971,685.179993,686.969971,83700,686.969971
"1321",684.309998,688.51001,679.47998,688.099976,76900,688.099976
"1322",688.039978,688.119995,680.530029,680.690002,68300,680.690002
"1323",678.5,678.5,672.320007,672.609985,71900,672.609985
"1324",673.01001,678.440002,671.049988,678.309998,63900,678.309998
"1325",676.159973,676.159973,665.840027,668.719971,93600,668.719971
"1326",671.710022,676.73999,669.97998,672.419983,67300,672.419983
"1327",674.049988,680.789978,671.320007,671.320007,67700,671.320007
"1328",671.919983,679.22998,670.380005,677.940002,69200,677.940002
"1329",680.289978,692.900024,680.289978,692.900024,86700,692.900024
"1330",692.830017,693.330017,689.140015,691.299988,60900,691.299988
"1331",690.23999,693.309998,688.719971,692.630005,63200,692.630005
"1332",690.609985,697.820007,688.890015,697.650024,60100,697.650024
"1333",698.809998,702.880005,697.22998,700.049988,65300,700.049988
"1334",699.77002,703.409973,697.929993,700.320007,68200,700.320007
"1335",700.669983,701.049988,693.75,695.02002,69200,695.02002
"1336",695.01001,702.539978,694.809998,702.099976,97300,702.099976
"1337",700.789978,700.789978,693.890015,696.23999,71200,696.23999
"1338",697.840027,705.330017,697.460022,705.330017,73500,705.330017
"1339",705.039978,709.200012,702.950012,708.27002,75000,708.27002
"1340",705.299988,707.47998,697.359985,698.390015,82500,698.390015
"1341",698.01001,699.26001,690.51001,694.559998,124100,694.559998
"1342",695.76001,700.039978,693.75,700.030029,98100,700.030029
"1343",697.119995,697.119995,686.190002,690.090027,86900,690.090027
"1344",688.289978,692.070007,684.51001,686.320007,90200,686.320007
"1345",687.52002,688.820007,681.919983,682.039978,98100,682.039978
"1346",680.659973,687.929993,678.890015,687.929993,106200,687.929993
"1347",687.450012,691.359985,685.210022,687.869995,81900,687.869995
"1348",689.049988,693.48999,687.700012,693.320007,73500,693.320007
"1349",692.580017,692.580017,684.76001,684.849976,74200,684.849976
"1350",685.97998,687.97998,677.659973,682.190002,85200,682.190002
"1351",681.179993,684.340027,676.25,677.299988,85700,677.299988
"1352",678.27002,686.960022,678.27002,684.150024,78400,684.150024
"1353",683.01001,685.159973,669.840027,672.659973,94700,672.659973
"1354",671.47998,680.919983,670.02002,676.190002,66800,676.190002
"1355",674.73999,676.169983,665.690002,670.969971,72700,670.969971
"1356",672.429993,680.97998,672.429993,680.890015,92300,680.890015
"1357",680.73999,683.330017,679.169983,679.48999,73900,679.48999
"1358",681.820007,694.640015,681.820007,694.02002,83100,694.02002
"1359",694.869995,699.390015,694.869995,697.880005,71500,697.880005
"1360",698.640015,699.409973,695.76001,696.97998,63300,696.97998
"1361",696.969971,702.849976,696.820007,702.849976,66600,702.849976
"1362",703.609985,707.140015,701.719971,705.140015,105200,705.140015
"1363",703.809998,710.26001,701.219971,710.109985,82700,710.109985
"1364",708.690002,713.219971,707.140015,713.210022,71400,713.210022
"1365",712.599976,712.599976,704.559998,709.549988,71400,709.549988
"1366",710.200012,719.190002,709.780029,717.380005,75000,717.380005
"1367",717.640015,722.25,716.909973,720.150024,63000,720.150024
"1368",720.51001,727.280029,720.51001,726.380005,71300,726.380005
"1369",725.130005,725.130005,719.77002,722.51001,72500,722.51001
"1370",719.590027,719.590027,710.890015,712.580017,66000,712.580017
"1371",710.599976,712.599976,703.419983,704.299988,66700,704.299988
"1372",703.130005,706.030029,699.619995,703.900024,64200,703.900024
"1373",705.01001,709.380005,703.400024,703.710022,66700,703.710022
"1374",701.099976,703.400024,693.909973,703.01001,69100,703.01001
"1375",703.640015,705.650024,699.330017,701.47998,198700,701.47998
"1376",704.25,715.969971,704.25,710.039978,68200,710.039978
"1377",710.609985,710.849976,704.849976,708.280029,66600,708.280029
"1378",708.590027,712.030029,704.940002,705.109985,62500,705.109985
"1379",708.25,719.190002,708.25,719.190002,66800,719.190002
"1380",714.26001,714.26001,690.01001,692.01001,279700,692.01001
"1381",688.169983,688.169983,668.369995,670.900024,97600,670.900024
"1382",674.190002,682.320007,674.190002,679.840027,78900,679.840027
"1383",682.73999,694.280029,682.73999,693.869995,75000,693.869995
"1384",694.909973,708.409973,693.140015,708.359985,116600,708.359985
"1385",707.880005,712.549988,706.880005,710.169983,67100,710.169983
"1386",707.130005,707.130005,696.359985,700.059998,67800,700.059998
"1387",697.599976,705.090027,695.580017,704.309998,68500,704.309998
"1388",705.159973,710.080017,701.960022,705.559998,63700,705.559998
"1389",709.559998,722.900024,709.559998,722.400024,80100,722.400024
"1390",724,731.309998,724,730.530029,68700,730.530029
"1391",731.940002,743.590027,731.940002,740.22998,75600,740.22998
"1392",741.630005,742.599976,736.320007,739.280029,77300,739.280029
"1393",741.76001,744.460022,739.289978,739.460022,60100,739.460022
"1394",741.039978,743.400024,739.130005,740.719971,65200,740.719971
"1395",740.630005,744.190002,739.47998,741.309998,58000,741.309998
"1396",740.150024,740.969971,735.969971,736.75,62000,736.75
"1397",737.669983,742.950012,735.419983,741.330017,56900,741.330017
"1398",741.01001,742.380005,735.349976,736.98999,60900,736.98999
"1399",736.880005,742.960022,735.48999,741.859985,58000,741.859985
"1400",741.169983,741.400024,737.98999,739.190002,60200,739.190002
"1401",738.75,743.869995,738.419983,743.719971,71500,743.719971
"1402",744.840027,746.630005,741.47998,745.309998,82900,745.309998
"1403",744.919983,744.919983,741.580017,742.859985,76600,742.859985
"1404",742.169983,747.080017,738.609985,743.97998,113500,743.97998
"1405",743.830017,746.080017,740.419983,743.280029,78800,743.280029
"1406",742.900024,742.969971,731.219971,732.5,82800,732.5
"1407",731.820007,736.539978,729.659973,736.52002,78800,736.52002
"1408",736.76001,739.77002,736.25,736.859985,72400,736.859985
"1409",738.890015,747.940002,738.890015,746.669983,81400,746.669983
"1410",747.200012,748.820007,744.52002,745.690002,64100,745.690002
"1411",745.960022,747.25,745.080017,745.859985,75200,745.859985
"1412",746.059998,746.51001,739.849976,742.130005,77600,742.130005
"1413",743.390015,746.75,742.820007,745.080017,70200,745.080017
"1414",744.719971,745.450012,741.27002,744.159973,58700,744.159973
"1415",745.52002,751.98999,745.52002,750.960022,63400,750.960022
"1416",749.890015,749.890015,745.450012,745.710022,59300,745.710022
"1417",745.280029,745.280029,741.01001,743.880005,59000,743.880005
"1418",744.090027,748.809998,743.98999,748.809998,66500,748.809998
"1419",747.150024,749.109985,745.5,748.849976,81400,748.849976
"1420",747.299988,750.840027,745.400024,750.77002,55500,750.77002
"1421",753.119995,757.780029,753.119995,756.140015,61400,756.140015
"1422",755.650024,756.02002,750.460022,751.549988,67900,751.549988
"1423",750.030029,754.950012,749.609985,754.01001,66500,754.01001
"1424",754.559998,759.140015,747.960022,751.909973,65400,751.909973
"1425",752.429993,757.780029,752.27002,756.179993,56500,756.179993
"1426",755.619995,757.580017,753.789978,756.460022,64300,756.460022
"1427",755.669983,755.669983,748.869995,753.070007,102400,753.070007
"1428",753.380005,754.280029,746.150024,753.109985,73100,753.109985
"1429",755.960022,761.869995,755.960022,761.869995,68200,761.869995
"1430",762.929993,763,756.869995,760.429993,64600,760.429993
"1431",760.01001,765.549988,759.789978,765.469971,74200,765.469971
"1432",764.359985,764.380005,761.849976,762.630005,67100,762.630005
"1433",757.320007,757.320007,739.940002,739.969971,77800,739.969971
"1434",736.369995,748.210022,735.460022,748.179993,76500,748.179993
"1435",743.469971,743.469971,731.320007,734.820007,70200,734.820007
"1436",735.549988,737.340027,731.539978,732.280029,60100,732.280029
"1437",732.369995,741.609985,731.789978,741.609985,60700,741.609985
"1438",741.5,741.5,737.309998,740.5,200800,740.5
"1439",743.340027,748.780029,741.710022,744.849976,60000,744.849976
"1440",748.059998,748.23999,742.330017,742.359985,59000,742.359985
"1441",745.47998,753.25,743.840027,753.130005,80000,753.130005
"1442",757,764.650024,757,764.640015,86300,764.640015
"1443",762.549988,763.47998,759.22998,759.390015,66900,759.390015
"1444",756.099976,756.099976,749.960022,750.080017,66000,750.080017
"1445",749.590027,752.349976,747.880005,751.340027,67700,751.340027
"1446",752.119995,758.309998,749.599976,758.219971,72300,758.219971
"1447",757.099976,757.099976,748.549988,748.97998,69800,748.97998
"1448",751.929993,759.390015,749.590027,756.900024,91100,756.900024
"1449",754.969971,754.969971,751.02002,754.23999,89300,754.23999
"1450",754.799988,756.48999,748.429993,750.659973,61600,750.659973
"1451",753.51001,758.659973,753.51001,755.369995,93500,755.369995
"1452",754.030029,755.289978,748.77002,755.02002,65000,755.02002
"1453",755.580017,756.130005,746.059998,749.059998,76200,749.059998
"1454",752.150024,759.059998,752.150024,756.799988,52300,756.799988
"1455",755.450012,755.450012,741.309998,744.369995,62000,744.369995
"1456",744.669983,748.809998,742.789978,745.5,48900,745.5
"1457",740.840027,741,734.440002,737.650024,66600,737.650024
"1458",740.849976,744.090027,736.580017,736.679993,54700,736.679993
"1459",736.5,738.419983,734.830017,734.98999,50500,734.98999
"1460",741.289978,741.77002,736.929993,737.429993,56400,737.429993
"1461",738.23999,742.630005,735.330017,740.320007,60400,740.320007
"1462",738.099976,738.820007,732.919983,735.700012,61800,735.700012
"1463",730.599976,734.77002,728.98999,733.890015,55300,733.890015
"1464",737.530029,742.299988,737.51001,739.780029,58700,739.780029
"1465",738.789978,739.23999,732,732.700012,62400,732.700012
"1466",730.099976,733.570007,726.190002,727.289978,63900,727.289978
"1467",729.330017,729.330017,718.77002,719.320007,92300,719.320007
"1468",719.380005,723.47998,716.599976,718.630005,79700,718.630005
"1469",719.559998,722.719971,716.280029,722.590027,87100,722.590027
"1470",723.390015,724.22998,709,712.77002,81400,712.77002
"1471",712.150024,713.51001,705.349976,705.679993,75500,705.679993
"1472",708.719971,709.640015,702.98999,703.640015,84400,703.640015
"1473",704.469971,714.219971,704.01001,707.169983,86800,707.169983
"1474",714.960022,725.22998,714.960022,724.26001,84800,724.26001
"1475",721.869995,728.570007,719.419983,726.039978,71300,726.039978
"1476",722.109985,749.080017,720.619995,748.27002,117800,748.27002
"1477",754.400024,765.679993,750.580017,762.349976,130500,762.349976
"1478",762.299988,782.309998,762.190002,781.840027,117600,781.840027
"1479",785.929993,799.119995,785.929993,793.039978,99300,793.039978
"1480",792.150024,796.52002,788,795.169983,88700,795.169983
"1481",793.619995,796.710022,791.599976,795.679993,74600,795.679993
"1482",796.77002,801.960022,796.77002,799.429993,77800,799.429993
"1483",800.030029,803.150024,798.359985,803,96500,803
"1484",804.659973,807.210022,800.940002,806.340027,65800,806.340027
"1485",808.02002,817.030029,807.869995,816.820007,78000,816.820007
