Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,5.680000,5.890000,5.660000,5.840000,5.840000,8001300
2022-07-07,5.870000,6.110000,5.830000,6.060000,6.060000,5737600
2022-07-08,5.990000,6.100000,5.870000,5.940000,5.940000,5846600
2022-07-11,5.850000,5.940000,5.670000,5.710000,5.710000,5341700
2022-07-12,5.750000,5.780000,5.500000,5.630000,5.630000,6414700
2022-07-13,5.530000,5.800000,5.510000,5.790000,5.790000,7101400
2022-07-14,5.670000,5.730000,5.550000,5.620000,5.620000,7137400
2022-07-15,5.720000,5.780000,5.560000,5.750000,5.750000,7503800
2022-07-18,5.830000,5.950000,5.730000,5.750000,5.750000,5372100
2022-07-19,5.850000,6.010000,5.810000,5.970000,5.970000,4197400
2022-07-20,5.950000,6.250000,5.950000,6.170000,6.170000,7160500
2022-07-21,6.140000,6.250000,6.080000,6.210000,6.210000,3240200
2022-07-22,6.210000,6.250000,5.880000,5.930000,5.930000,5561500
2022-07-25,5.920000,5.930000,5.770000,5.860000,5.860000,4145400
2022-07-26,5.790000,5.790000,5.630000,5.710000,5.710000,4544800
2022-07-27,5.840000,5.970000,5.800000,5.960000,5.960000,4028700
2022-07-28,5.930000,6.120000,5.840000,6.120000,6.120000,4576900
2022-07-29,6.090000,6.170000,6.000000,6.130000,6.130000,6140600
2022-08-01,6.080000,6.170000,6.000000,6.100000,6.100000,5165100
2022-08-02,6.020000,6.380000,6.010000,6.300000,6.300000,6529900
2022-08-03,6.350000,6.600000,6.350000,6.570000,6.570000,5451400
2022-08-04,6.570000,6.670000,6.500000,6.650000,6.650000,4342300
2022-08-05,6.520000,6.770000,6.450000,6.750000,6.750000,5746700
2022-08-08,6.840000,7.150000,6.840000,6.900000,6.900000,9476400
2022-08-09,6.820000,6.870000,6.570000,6.590000,6.590000,5293600
2022-08-10,6.800000,6.980000,6.760000,6.930000,6.930000,4709500
2022-08-11,7.020000,7.090000,6.710000,6.740000,6.740000,6966300
2022-08-12,6.800000,6.860000,6.710000,6.780000,6.780000,4346900
2022-08-15,6.690000,6.900000,6.680000,6.860000,6.860000,3344900
2022-08-16,6.820000,7.200000,6.700000,7.020000,7.020000,11236900
2022-08-17,6.900000,6.970000,6.730000,6.770000,6.770000,7287200
2022-08-18,6.740000,6.790000,6.650000,6.750000,6.750000,3703300
2022-08-19,6.630000,6.670000,6.350000,6.370000,6.370000,3578000
2022-08-22,6.220000,6.250000,6.020000,6.100000,6.100000,4103800
2022-08-23,6.120000,6.230000,6.080000,6.150000,6.150000,3522000
2022-08-24,6.180000,6.330000,6.150000,6.270000,6.270000,2815100
2022-08-25,6.320000,6.420000,6.280000,6.420000,6.420000,3409900
2022-08-26,6.410000,6.420000,6.080000,6.090000,6.090000,4479000
2022-08-29,6.000000,6.190000,5.970000,6.110000,6.110000,8974300
2022-08-30,6.100000,6.260000,6.000000,6.040000,6.040000,5007200
2022-08-31,6.110000,6.140000,5.930000,5.940000,5.940000,4144300
2022-09-01,5.890000,5.890000,5.660000,5.760000,5.760000,4189200
2022-09-02,5.850000,5.870000,5.680000,5.740000,5.740000,3693300
2022-09-06,5.730000,5.750000,5.560000,5.580000,5.580000,4800900
